timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
146.318,309.141986,290.270979,294.123046,294.222072,306.178641,288.618770,292.341473,293.104521
146.664,309.142588,290.269075,294.117142,294.203962,306.181106,288.614156,292.333654,293.076560
147.044,309.137312,290.268948,294.119814,294.276110,306.172798,288.609960,292.336303,293.054348
147.385,309.140737,290.267341,294.119512,294.248809,306.182019,288.613400,292.338055,293.034626
147.737,309.137312,290.268779,294.118909,294.219744,306.181106,288.613568,292.335919,293.091269
148.079,309.147587,290.267045,294.118047,294.213319,306.176495,288.610799,292.335150,293.073044
148.458,309.136942,290.267341,294.120374,294.268821,306.175308,288.614575,292.336816,293.050532
148.803,309.140737,290.268187,294.118607,294.242599,306.186356,288.613107,292.336602,293.035226
149.155,309.138515,290.267341,294.117745,294.221124,306.174989,288.613275,292.334252,293.085437
149.514,309.136062,290.266749,294.118349,294.303717,306.173756,288.611093,292.334551,293.062667
149.850,309.140737,290.268652,294.118607,294.260626,306.178641,288.610506,292.332586,293.034926
150.224,309.138515,290.267341,294.117443,294.239753,306.188821,288.610506,292.333654,293.032568
150.576,309.137590,290.266453,294.118909,294.221727,306.180193,288.609793,292.334551,293.080591
150.925,309.139163,290.264127,294.118133,294.292286,306.176815,288.610799,292.334551,293.054906
151.282,309.141986,290.271571,294.123262,294.255710,306.176176,288.613107,292.335620,293.034069
151.635,309.140737,290.269837,294.120676,294.237165,306.176495,288.610212,292.334551,293.117259
151.977,309.140135,290.270429,294.120116,294.219442,306.174989,288.610212,292.334551,293.071586
152.326,309.137914,290.268187,294.121581,294.281028,306.170652,288.608912,292.332501,293.039256
152.702,309.136988,290.266749,294.120116,294.255710,306.170059,288.606898,292.328484,293.023351
153.047,309.137312,290.268948,294.121193,294.243505,306.166361,288.605430,292.334252,293.112069
153.388,309.133239,290.269541,294.120374,294.219658,306.168187,288.608618,292.327630,293.068670
153.754,309.136062,290.269667,294.121797,294.279561,306.166042,288.607192,292.334850,293.041872
154.121,309.134813,290.265861,294.118909,294.241521,306.170333,288.609373,292.331048,293.013276
154.474,309.132591,290.266157,294.119512,294.240055,306.166635,288.609079,292.332501,293.101905
154.820,309.136016,290.267595,294.118349,294.221210,306.169739,288.608912,292.329980,293.074244
155.172,309.135368,290.266749,294.115159,294.270891,306.166681,288.607192,292.330450,293.042472
155.512,309.132591,290.268483,294.119814,294.254847,306.175902,288.612268,292.335449,293.032868
155.884,309.136988,290.267891,294.120374,294.240615,306.178367,288.611680,292.337756,293.099031
156.254,309.142588,290.268187,294.121883,294.225479,306.173756,288.611974,292.333099,293.067641
156.594,309.136386,290.267891,294.118607,294.267355,306.172159,288.609960,292.332201,293.037584
156.929,309.137914,290.266749,294.121797,294.250577,306.180512,288.610338,292.334850,293.035526
157.287,309.136618,290.269075,294.119814,294.234233,306.172478,288.610799,292.331048,293.090711
157.659,309.136062,290.265861,294.118909,294.313294,306.168826,288.607443,292.330236,293.062967
158.008,309.137914,290.268779,294.119814,294.262697,306.171291,288.609205,292.329980,293.036684
158.351,309.135137,290.268187,294.118607,294.244367,306.185443,288.609205,292.329980,293.042386
158.711,309.138515,290.267891,294.118133,294.227506,306.171565,288.607611,292.332287,293.084622
159.051,309.135368,290.265396,294.116280,294.301086,306.169100,288.604129,292.327929,293.054348
159.404,309.133239,290.264507,294.116064,294.257478,306.167274,288.605430,292.329382,293.033468
159.779,309.132313,290.264254,294.115461,294.240917,306.165403,288.604297,292.330535,293.116701
160.117,309.135137,290.268779,294.118133,294.219442,306.172798,288.613107,292.336901,293.082949
160.479,309.131388,290.265269,294.117831,294.291768,306.170972,288.608786,292.329082,293.055721
160.831,309.134489,290.267341,294.115461,294.253941,306.172798,288.609793,292.333398,293.041014
161.174,309.133841,290.266157,294.116280,294.232810,306.173756,288.607737,292.331048,293.107952
161.562,309.132915,290.266157,294.116280,294.213923,306.171885,288.609205,292.329681,293.072486
161.901,309.134489,290.265988,294.116581,294.281243,306.168826,288.604968,292.329681,293.059151
162.240,309.132313,290.264719,294.114599,294.237769,306.170059,288.607192,292.332800,293.039556
162.598,309.131989,290.264719,294.116840,294.228713,306.173437,288.610799,292.329681,293.102248
162.944,309.134211,290.265565,294.116280,294.196158,306.174030,288.607737,292.330236,293.071886
163.333,309.136664,290.265015,294.116064,294.266147,306.177089,288.605136,292.331347,293.044444
163.669,309.138515,290.264127,294.115461,294.245575,306.177089,288.605723,292.327331,293.034926
164.007,309.139163,290.265692,294.116581,294.214224,306.171885,288.601822,292.327630,293.092941
164.371,309.135738,290.263831,294.118047,294.203186,306.174350,288.604423,292.328783,293.070985
164.713,309.134813,290.262773,294.114599,294.258082,306.171565,288.606898,292.330450,293.047017
165.070,309.135137,290.265015,294.115461,294.233715,306.181106,288.605723,292.329082,293.043072
165.442,309.136988,290.265565,294.117745,294.206937,306.176815,288.608492,292.333953,293.088953
165.787,309.138515,290.266157,294.117530,294.303113,306.177454,288.610086,292.332501,293.067298
166.139,309.136988,290.266749,294.117530,294.246135,306.174030,288.606898,292.330834,293.047360
166.483,309.136988,290.266157,294.118133,294.227290,306.176815,288.608618,292.332287,293.045602
166.837,309.138238,290.262773,294.116064,294.203445,306.175582,288.606898,292.329681,293.080033
167.211,309.139441,290.269541,294.117831,294.296125,306.175902,288.608492,292.332800,293.064039
167.568,309.137590,290.265861,294.118909,294.251958,306.178002,288.608492,292.331133,293.048860
167.914,309.141616,290.266453,294.118133,294.222892,306.180832,288.607443,292.331133,293.113441
168.262,309.140367,290.266749,294.119512,294.201418,306.178960,288.607737,292.334252,293.076217
168.625,309.140737,290.267045,294.119211,294.288835,306.182932,288.606311,292.332586,293.065239
168.966,309.140367,290.265692,294.115676,294.245834,306.176221,288.606604,292.328783,293.043629
169.315,309.141061,290.264803,294.117142,294.224056,306.177134,288.604297,292.330151,293.104220
169.668,309.138515,290.265269,294.114297,294.217976,306.175263,288.606017,292.328185,293.076560
170.022,309.136386,290.263535,294.114599,294.283098,306.174350,288.600941,292.326263,293.058636
170.396,309.134489,290.263238,294.112832,294.216855,306.170972,288.604717,292.327032,292.965655
170.738,309.129814,290.262689,294.115978,294.233112,306.170698,288.604129,292.329382,293.107480
171.101,309.135137,290.265565,294.116366,294.244971,306.175582,288.606017,292.328484,293.066697
171.456,309.130138,290.264127,294.117142,294.273436,306.169100,288.599473,292.327331,293.041014
171.799,309.136062,290.266749,294.115763,294.159815,306.174350,288.604297,292.323913,292.946541
