timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
341.720,339.427341,347.408918,348.906381,351.365227,397.328954,349.841173,350.978765,357.779818
342.141,339.427341,347.428894,348.918717,351.372181,399.666068,349.840786,350.964881,357.767143
342.559,339.426335,343.413212,348.902196,351.360889,397.057467,349.811822,350.930063,357.679808
342.980,339.427711,347.331984,348.838659,351.289699,398.782634,349.780761,350.925732,357.748817
343.400,339.426335,347.383088,348.880612,351.336359,398.785372,349.808561,350.936837,357.758637
343.819,339.426335,343.349440,348.791540,351.219919,397.207684,349.171948,350.353265,357.043815
344.240,339.427341,347.448215,344.332394,351.254112,398.431999,349.174373,350.362073,350.496283
344.660,339.426653,342.864040,343.727530,350.765925,397.901357,349.174043,350.356755,357.681292
345.080,339.426653,343.455574,344.338878,351.386923,397.090318,349.862070,350.984152,354.613511
345.500,339.427023,347.255622,348.438383,350.750000,398.439068,349.181871,350.361409,350.636391
345.920,339.427341,342.911838,343.757228,350.794670,397.891638,349.217432,350.403958,350.550166
346.341,339.428029,342.911462,348.518638,350.800386,398.001490,349.246325,350.413266,350.578386
346.761,339.428029,342.930046,343.784827,350.828469,398.022067,349.260222,350.423129,350.625632
347.181,339.428029,347.354033,348.559490,350.837295,398.586239,349.268660,350.445794,350.661127
347.601,339.428346,347.368369,348.570818,350.849118,396.645868,349.282778,350.451169,350.688529
348.021,339.428029,347.372144,348.574612,350.849451,398.025996,349.286253,350.454106,350.695962
348.441,339.427341,342.964103,348.583136,350.856889,398.034521,349.282006,350.459316,350.708056
348.861,339.427711,342.966198,343.821756,350.861552,396.497680,349.292651,350.468848,354.314658
349.281,339.427341,342.972323,343.823805,350.870434,398.047241,349.298993,350.473836,350.729748
349.701,339.427976,347.391789,348.592870,350.867492,398.046509,349.298993,350.474169,350.741122
350.122,339.427341,347.397425,348.595400,350.871822,398.632755,349.308260,350.478713,350.750665
350.542,339.427658,347.394580,348.590780,350.872155,398.045709,349.303847,350.473116,350.756270
350.962,339.428029,342.982262,348.598590,350.872821,398.623812,349.314272,350.476995,350.757435
351.382,339.427341,342.986077,343.836583,350.881703,398.049639,349.311018,350.479545,350.766258
351.802,339.428029,347.398465,348.597930,350.870045,398.623011,349.309970,350.480598,350.768699
352.223,339.427658,342.984357,348.600350,350.873876,396.589087,349.309308,350.472450,350.770586
352.644,339.428029,342.982316,348.597820,350.872488,398.037984,349.306054,350.478492,350.780130
353.062,339.428029,347.396604,348.596445,350.874042,398.602122,349.311018,350.481263,350.782572
353.482,339.428029,342.985378,343.837661,350.877873,398.626548,349.312397,350.482316,350.787955
353.902,339.428029,347.397754,343.836960,350.879261,396.550997,349.311018,350.480930,350.786901
354.323,339.427341,347.404758,343.836206,350.883091,398.048840,349.314272,350.478159,350.790508
354.743,339.428029,347.399505,348.599525,350.875763,396.565901,349.306771,350.478824,350.796945
355.166,339.427658,342.986775,348.605299,350.880316,398.043445,349.314493,350.483369,350.798555
355.586,339.427341,342.988172,343.838255,350.879594,398.049639,349.311624,350.482648,350.805658
356.006,339.427341,347.397316,348.602770,350.879982,398.046908,349.313114,350.486861,350.809599
356.424,339.427023,342.991610,343.841058,350.874042,397.329286,349.318795,350.490464,350.808877
356.843,339.427976,342.987850,343.844509,350.886700,396.592864,349.318464,350.489743,350.811486
357.263,339.427023,342.990912,343.842460,350.891363,396.685032,349.322270,350.489410,350.813428
357.683,339.427976,347.407550,348.607719,350.883924,398.651377,349.320505,350.486528,350.817535
358.103,339.426970,347.405798,348.606014,350.886367,398.059363,349.320891,350.485919,350.818257
358.524,339.428346,347.407878,348.607059,350.884257,396.672772,349.317747,350.487193,350.816481
358.943,339.427341,342.992255,343.841759,350.884979,396.328126,349.317747,350.489410,350.819256
359.364,339.427976,342.992255,343.845911,350.890531,396.542188,349.322050,350.489078,350.824307
359.784,339.426970,347.410067,344.490053,350.888810,398.641298,349.322050,350.491849,350.825528
360.204,339.428346,342.990214,343.842083,350.889864,398.631153,349.321664,350.486528,350.827415
360.624,339.428346,347.406510,348.610854,350.885312,398.647840,349.327235,350.491849,350.831245
361.044,339.428029,342.993975,348.614429,350.888810,398.649041,349.324808,350.490962,350.830912
361.465,339.428029,347.406127,348.608764,350.885312,396.661904,349.319457,350.488025,350.826582
361.885,339.427976,347.403062,348.609479,350.887866,396.364928,349.319457,350.484422,350.833021
362.305,339.428029,347.404102,348.605629,350.883813,396.820923,349.316699,350.489078,350.830912
362.724,339.427341,347.409027,348.608434,350.887422,397.439644,349.321664,350.490242,350.831966
363.145,339.428029,347.400545,348.609809,350.886034,398.061161,349.323980,350.489078,350.832632
363.565,339.428029,342.991933,343.841759,350.887089,396.562523,349.315210,350.485808,350.826971
363.985,339.427341,342.993975,343.846289,350.888088,396.533511,349.319843,350.488357,350.826582
364.405,339.427341,347.411435,348.613604,350.889642,398.070619,349.323760,350.484533,350.831245
364.825,339.427023,342.992631,343.846612,350.889642,396.555170,349.321222,350.486639,350.824529
365.246,339.426970,347.403719,348.609809,350.887089,396.572526,349.320891,350.489410,350.827304
365.665,339.427976,347.406127,348.611624,350.887755,396.335605,349.318464,350.488745,350.825195
366.086,339.427711,342.991610,343.846289,350.891252,398.056166,349.320505,350.485475,350.822753
366.506,339.428029,342.994727,343.844833,350.890198,396.588690,349.323318,350.487692,350.821365
366.926,339.427341,347.403281,348.605189,350.885645,396.564047,349.317416,350.484755,350.817868
367.346,339.427023,342.996070,348.615474,350.885645,398.059363,349.316589,350.486140,350.813539
367.766,339.428029,342.992631,348.610524,350.882536,396.564444,349.317747,350.489078,350.810320
368.187,339.428346,342.993975,343.841058,350.887755,398.059363,349.315320,350.485475,350.813761
